CID,LLDTEK,PHONE NUMBER,EMAIL,Unnamed: 4,Price from:,2024-03-01 00:00:00,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,HARDWARE,NO.,BRANCH,LINK,UNIT PRICE,NOTE
,OFFICE,855 357 6789,"sales@lldtek.com
techsupport@lldtek.com
billing@lldtek.com
training@lldtek.com
resume@lldtek.com",Package,Quantity,Amount,,"TMD-SPOTON
TMD-TMS
TMD-MKT",OTHER ISO,,AIO Computer,1.0,HP,https://www.amazon.com/gp/product/B07CD1YDSV/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07CD1YDSV&linkCode=as2&tag=lldtek-20&linkId=50f38dd9e9c6010cbab7c4ecf622f911,0,
,Hotline,713 818 0879,,SMS 50,2000,50,,x,x,,,2.0,DELL,https://www.amazon.com/gp/product/B089NKKCRW/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B089NKKCRW&linkCode=as2&tag=lldtek-20&linkId=da8f0e20d2edbc996535ebdbc3c6a43a,0,
,,,,SMS 100,5000,100,Suggest,x,x,,,3.0,DELL,https://www.amazon.com/gp/product/B07YR4D7TF/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07YR4D7TF&linkCode=as2&tag=lldtek-20&linkId=c9656f8386bd4bfe9282574c07cb95b5,0,
,TMS,,,SMS 200,11000,200,Suggest,x,x,,,,,,,
,Hotline,"866 359 2292
704 402 9959","support@trustbankcard.com
merchant@trustbankcard.com",SMS 300,17500,300,,x,,Ko báo giá này cho ISO,Cashier Drawer,1.0,,https://www.amazon.com/gp/product/B01LWT5IOP/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B01LWT5IOP&linkCode=as2&tag=lldtek-20&linkId=7685c4fe314f940847097135390125c5,0,
,,,,SMS 500,30000,500,,x,,,,,,,0,
,MAC USA,,,SMS 900,60000,900,,x,,,,,,,0,
,Hot line,888 873 7799,,,,,,,,,,,,,,
,,,,,,,,,,,Tablet Check-In,1.0,Amazon 10 inch,https://www.amazon.com/gp/product/B07K1RZWMC/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07K1RZWMC&linkCode=as2&tag=lldtek-20&linkId=b76577f5456182a74e0248a1bd90aa5b,0,
,SPOTON,,,,,,,,,,,2.0,Samsung 10 inch,https://www.amazon.com/gp/product/B07VWCSNR9/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07VWCSNR9&linkCode=as2&tag=lldtek-20&linkId=027136c257cfad722d6012880bf7995b,0,
,Hotline ,877 814 4102,support@spoton.com,,,,,,,,,3.0,Samsung 10 inch,https://www.amazon.com/gp/product/B076MMCTWP/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B076MMCTWP&linkCode=as2&tag=lldtek-20&linkId=1385120152cf8a82edada4994b1cbedcc,0,
,,,,,,,,,,,Tablet Stand,1.0,,https://www.amazon.com/gp/product/B07R3TN1TG/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07R3TN1TG&linkCode=as2&tag=lldtek-20&linkId=d34882495095986bbc6aff63091f06cf,0,
,,,,,,,,,,,,2.0,,https://www.amazon.com/gp/product/B073WHV11Z/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B073WHV11Z&linkCode=as2&tag=lldtek-20&linkId=7790a0db27a134e12c7f83710102178e,0,
,1ST Merchant,,,,,,,,,,,3.0,,https://www.amazon.com/dp/B081Q1RH8Q?pd_rd_i=B081Q1RH8Q&pd_rd_w=7XVyo&pf_rd_p=2e62cf0a-1323-46ac-bbb9-19dc851997c6&pd_rd_wg=SE5cF&pf_rd_r=N3T3MKYJXZJZFV8E4EBH&pd_rd_r=3aaf55dc-13f4-4b48-9298-48ee4ffe8963,0,
,Hot line,855 505 6789,,,,,,,,,,,,,,
,,,,,,,,,,,"Thermal POS 
 Printer",1.0,SAM4S,https://www.amazon.com/SAM4s-GIANT100-Compact-Ethernet-Included/dp/B07C6KDMLD/ref=sr_1_3?dchild=1&keywords=white+sam4s+thermal+receipt+printer&qid=1620418222&s=electronics&sr=1-3,0,RS232 / D9
,Mr. Tom,,,,,,,,,,,3.0,"ACLAS
(RS-232)",https://www.amazon.com/ACLAS-Thermal-Receipt-Printer-Support/dp/B0834YNJPZ, ,RS232 / D9
,Support,"916.769.7225
916.908.8205",Mr.Peter,,,,,,,,,4.0,"Meihengthong
(RS-232)",https://www.amazon.com/Thermal-Receipt-Printer-Meihengtong-Ethernet/dp/B085L49L7C/ref=sr_1_1?dchild=1&keywords=meihengtong+printer+250mm%2Fs&qid=1608248572&sr=8-1, ,RS232 / D9
,,,,,,,,,,,,5.0,"Munbyn
(RS-232)",https://www.amazon.com/Thermal-MUNBYN-Reminder-Waterproof-Oilproof/dp/B07585FVT9/ref=sr_1_14?dchild=1&keywords=munbyn+thermal+printer+80mm&qid=1608248677&sr=8-14, ,RS232 / D9
,RICH SPA,,,,,,,,,,,,,,,
,Hot line,(562) 564-6868,,,,,,,,,"Thermal 
Receipt Paper 
 80*80",1.0,,https://www.paperrolls-n-more.com/3-1-8-x-230-thermal-receipt-paper-rolls-50-per-case-bpa-free.aspx?feed=Froogle&gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYASABEgIrOPD_BwE,60.88,
,,,,,,,,,,,,2.0,Uline,https://www.uline.com/Product/Detail/S-16161/Cash-Handling/Thermal-Cash-Register-Paper-3-1-8-x-230?pricode=WB0993&gadtype=pla&id=S-16161&gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYAyABEgL7ifD_BwE&gclsrc=aw.ds,79,
,AIO,,,,,,,,,,,3.0,POSSupply,https://www.possupply.com/318-200-bpa-free-thermal-receipt-paper-50-rolls?gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYBCABEgKsufD_BwE,59.95,
,Hot line,"(888) 859-5888 
(571) 799-0616",,,,,,,,,,4.0,Uline,https://www.uline.com/Product/Detail/S-16162/Cash-Handling/Thermal-Cash-Register-Paper-3-1-8-x-273?pricode=WB0993&gadtype=pla&id=S-16162&gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYCCABEgLI1fD_BwE&gclsrc=aw.ds,97,
,,,,,,,,,,,,5.0,POSSupply,https://www.possupply.com/3-1-8-x-220-thermal-roll-paper-50-rolls-case?gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYCSABEgLNpvD_BwE,60.95,
,,,,,,,,,,,,6.0,Sam Club,https://www.samsclub.com/p/alliance-thermal-48gm-pos-rolls/prod20071872?&source=ifpla&itemNumber=99916&CAWELAID=730010300000794132&pid=ps_Google_PLA_6451806470&wl0=&wl1=g&wl2=c&wl3=378128317591&wl4=pla-297096726471&wl5=9061128&wl6=&wl7=&wl9=pla&wl10=1247713&wl11=online&wl12={productid}&wl13=&wl15=74560769502&wl17=&veh=sem&kclid=510d39a5-a5a4-4595-8ed8-2cc739bf9631&wl21=99916&wl22=&wl23=297096726471&gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYCyABEgI_gPD_BwE,51.98,
,,,,,,,,,,,,7.0,,https://www.gorillapaper.com/50-Pairs-Presat-Proven-Screen-DSLR-DV-Lens-Monitor-WetDry-Cleaning-Wipe_p_8806.html?gclid=EAIaIQobChMIoK2-n6bf6wIVARtlCh0uUwNmEAQYDCABEgKTM_D_BwE,32.99,
,,,,,,,,,,,,8.0,Amazon,https://www.amazon.com/Gorilla-Supply-Thermal-Bixolon-SRP-350/dp/B00MMHUY9Q/ref=asc_df_B01886QI4O/?tag=&linkCode=df0&hvadid=343203932280&hvpos=&hvnetw=g&hvrand=10955232275792205791&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061128&hvtargid=pla-738830160663&ref=&adgrpid=69358590432&th=1,63.99,
,,,,,,,,,,,"Thermal 
Receipt Paper 
A920 : 2 1/4 inches  = 58mm",,,https://www.amazon.com/Thermal-King-50-Paper-Rolls/dp/B01697T8PU,,
,,,,,,,,,,,TP Link Router,,,https://www.amazon.com/TP-Link-N300-Wireless-Wi-Fi-Router-TL-WR841N/dp/B001FWYGJS/ref=sr_1_9?dchild=1&keywords=TP-LINK+TL&qid=1612816995&sr=8-9,19.99,
,,,,,,,,,,,WiFi Extender,,,https://www.amazon.com/TP-Link-Extender-RE215-Wireless-Repeater/dp/B093WZ15FR/ref=sr_1_4?crid=EXVB11VKFCG9&keywords=TP-Link%2BAC750%2BWiFi%2BExtender&qid=1679428217&sprefix=tp-link%2Bac750%2Bwifi%2Bextender%2Caps%2C647&sr=8-4&th=1,25.99,
,,,,,,,,,,,Ethernet Cable,,,https://www.amazon.com/AmazonBasics-RJ45-Cat-6-Ethernet-Patch-Cable-10-Feet-3-Meters/dp/B00N2VIALK/ref=sr_1_3?crid=2QZC6RDNYHH8B&keywords=lan%2Bcable%2B10%2Bft&qid=1679412789&sprefix=lan%2Bcable%2Caps%2C467&sr=8-3&th=1,7.07,
,,,,,,,,,,,MSR Reader,1.0,EMV,https://www.amazon.com/MSR90-Magnetic-Credit-Reader-Deftun/dp/B01DUB4GVO/ref=sr_1_3?dchild=1&keywords=msr+card+reader&qid=1615502162&sr=8-3,15.99,
,,,,,,,,,,,,2.0,EMV,https://www.amazon.com/dp/B0183PUZMQ/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B0183PUZMQ&pd_rd_w=QDWxI&pf_rd_p=cbc856ed-1371-4f23-b89d-d3fb30edf66d&pd_rd_wg=8QiF5&pf_rd_r=F1HNYSH0SN2QFJM51HRP&pd_rd_r=441cfaa8-a0e1-46c0-851e-837681775c4b&smid=A1GWSWP28WJZRZ&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMkc4MVZSUjNDRFdZJmVuY3J5cHRlZElkPUExMDE3NTEzMjc3NU1HUE9IRFpTMCZlbmNyeXB0ZWRBZElkPUEwOTI4NDI0VDlVQ1RLQlZYSFpKJndpZGdldE5hbWU9c3BfZGV0YWlsX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,16.21,
,,,,,,,,,,,,3.0,EMV,https://www.amazon.com/dp/B07SD74DDB/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B07SD74DDB&pd_rd_w=6TChp&pf_rd_p=4269e1a0-a218-4fbd-9748-1cd337d2f2a5&pd_rd_wg=yBw6J&pf_rd_r=5VS4CJ7F77M91TBEW5JG&pd_rd_r=b26858db-f6ac-436d-a406-f87f70c69407&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRjRVNjMxQUxNV09WJmVuY3J5cHRlZElkPUEwNDAyOTQzMVpCV0NKVjZMT004TiZlbmNyeXB0ZWRBZElkPUEwMjMyNjE4MTZXTVFaUkpOV1hXOSZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=, ,
,,,,,,,,,,,USB Cable ,,,https://www.amazon.com/gp/product/B08Y6VQN99/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&psc=1,11.99,
