Name,Time,Salon Name,CID,Phone,Owner,Note,Status,Date
Anh Thư,08:12:49.145000,REFINE NAILS & SPA,10962,6305182360,Ms Tiên,"Khách nhờ check onl booking của tiệm, đã check vẫn work bình thường, đã báo she",Done,2024-12-01
Tuyết Anh,08:14:19.020000,POSH NAIL BAR,11246,4699888953,Mr,HD tiệm reboot wifi. Get IP lại. ,Done,2024-12-01
Phương Anh,08:24:36.392000,ELEGANT NAIL LOUNGE,11637,4049214835,Mr,"11/30 tiệm nhờ request thông tin thẻ để RF lại $60 tip của ticket 2501-002-719 ($125, VS 7224) AC: 182287, TransID: 13. Nhờ chị Loan hỗ trợ giúp em",Support,2024-12-01
Tuấn Võ,08:16:29.864000,Legacy Nails & Spa	,11757,4045366743,Mr Andy,"KH báo total tip của thợ Chi bị thiếu $12 ngày 11/24, Evan thiếu $25 ngày 11/24 -> Sumary cuối ngày in ra của thợ Chi $26.85/ Evan là $27.76
-> check thấy ticket 2503-000-458 (VS 4664, $80) ngày 11/24  -> giải thích với khách ngày $40 khách chưa fix tiền tip nên khi cuối ngày in lương của thợ Evan, Chi sẽ bị over thêm, sang ngày 11/25 khách mới fix $40 tiền tip thành tiền service của thợ Vannessa nên $40 tiền tip đó của Evan/Chi in ra lại sẽ bị thiếu $28/$12.
-> khách okay, nói sẽ check lại sau",Done,2024-12-01
Liên Chi,08:34:25.209000,NICE NAILS,08373,4235037657,Ms,"
She call đổi passcode nhưng số phone của she không khớp trên profile 
She báo số phone trên profile là phone tiệm. 
Đã nhờ she gửi mail request nhưng she không chịu, she báo là để she call agent ",Done,2024-12-01
Anh Thư,08:24:49.038000,VIP NAIL BAR,07575,5175155552,Ms,"FT 206-334-0567
Pinpad ko có internet, đã reboot lại máy và router nhưng vẫn ko work, đã nhờ she connect wifi sử dụng -> work ",Done,2024-12-01
Hương Giang,08:29:17.797000,PERFECTION NAIL SPA VI,11670,7163395894,,"KH nhờ add thợ TAM comm 60% check 5/5, tip bỏ check",Done,2024-12-01
Phương Anh,08:32:55.029000,UV NAIL & SPA,09529,9109859999,Mr Jackie,"Christmas giảm 10% tất cả service trong tháng 12
=> Tiệm muốn soạn promotion gửi cho tất cả các khách, nhờ chị Loan hỗ trợ giúp em",Done,2024-12-01
Hương Giang,08:31:27.968000,ELEGANT NAILS SALON,08698,9376266719,Ms. Chuyên,"KH nhờ HD clockin thợ, gọi FT check thì đã đổi system qua Fastboy > nhờ KH liên hệ qua đó",Done,2024-12-01
Tuyết Anh,08:33:12.912000,SIGNATURE NAIL SPA,05663,6788145599,Ms,"SIGNATURE NAIL SPA        05663        6788145599        Ms        Ngày 11/29, Ticket 2503-021-703 (MC 9842, $168), PIN VERIFIED, she request lấy them $30 tip (Even by tech) -> Đã request TMS
5445-7967-5000-9842        07/26
=> She đang không có ở tiệm. She nhờ sent qua imess cho she để lát she lên tiệm she tự làm. Done",Done,2024-12-01
Phương Anh,08:34:15.090000,A LA MODE NAILS & SPA,NJ_08219,973-896-0368,Ms Kate,"$8 off refill and pedicures and giftcard available $10 more when you buy $100
Monday to Friday
EXP: 12/05/2025
=> Tiệm muốn soạn promotion gửi ra cho tất cả các khách ở tiệm, nhờ chị Loan hỗ trợ giúp em",Done,2024-12-01
Phương Anh,08:45:21.178000,AGENT,,6168560035,Mr Văn Trần,Agent nhờ đổi thông tin của tiệm NICE NAILS - CID: 08373. Số cell phone: 4235037657 & Email: rosepham1981@gmail.com. Nhờ chị Loan note lại thông tin giúp em,Support,2024-12-01
Tuyết Anh,08:38:15.638000,LEO NAIL SPA,09986,	2066960339,Mr,HD he login app LLDsalon,Done,2024-12-01
